آباء	أبى
آباد	بادى
آبدا	آبد
آبلو	آبل
آبها	آبه
آبهة	آبه
آبهين	آبه
آبو	أبى
آبى	أبى
آتال	ائتال
آتت	آتى
آتنا	آتن
آتني	آتن
آتوا	آتى
آتون	آت
آتي	آت
آتيا	آت
آتية	آت
آتيت	آتى
آتيتان	آت
آتيتم	آتى
آتيتين	آت
آتين	آت
آتينا	آتى
آث	أث
آثار	أثار
آثام	إثم
آثرت	آثر
آثرتا	آثر
آثرن	آثر
آثرنا	آثر
آثروا	آثر
آثم	ثم
آثما	ثم
آثمة	ثم
آجال	جال
آجالا	جال
آجر	جرى
آجلا	آجل
آجلة	آجل
آخت	آخى
آخذ	أخذ
آخذا	أخذ
آخذة	أخذ
آخذت	أخذ
آخذون	أخذ
آخذين	أخذ
آخرا	آخر
آخران	آخر
آخري	آخر
آخرين	آخر
آخي	آخ
آخيت	آخى
آد	ودى
آدا	ودى
آداب	دب
آدان	ودى
آدما	آدم
آدمان	آدم
آدمون	آدم
آدميا	آدمي
آدمية	آدمي
آدمين	آدم
آدميين	آدمي
آدو	ودى
آدي	ودى
آدين	ودى
آذان	أذن
آذانا	أذن
آذت	أذي
آذتا	أذي
آذن	أذن
آذنا	أذن
آذنت	أذن
آذوا	أذي
آذى	أذي
آرا	آر
آراء	رأي
آربان	آرب
آربي	آرب
آرت	آر
آرسي	آرس
آرسين	آرس
آرش	ورش
آرقت	آرق
آرمان	آرم
آرمة	آرم
آرمن	رمى
آرمي	آرم
آرمين	آرم
آرنو	آرن
آرنون	آرن
آرني	آرن
آرو	آر
آرون	آر
آري	آر
آريا	آر
آريان	آر
آرين	آر
آز	أز
آزال	زال
آزر	زار
آزرت	زار
آزروا	زار
آزري	زار
آزمات	آزم
آزمون	آزم
آزو	أز
آس	أس
آسا	أس
آسان	أس
آست	أس
آسرا	آسر
آسرة	آسر
آسف	ساف
آسفا	ساف
آسفة	ساف
آسفون	ساف
آسفي	ساف
آسفين	ساف
آسنا	آسن
آسنة	آسن
آسو	أس
آسى	أسوة
آسي	أس
آش	وشى
آشر	وشر
آشي	أشى
آشين	أشى
آفا	آف
آفات	آف
آفاق	وفق
آفاقا	وفق
آفة	آف
آفتي	آف
آفتين	آف
آفق	وفق
آفلة	آفل
آفلو	آفل
آفون	آف
آفي	آف
آق	أقى
آقا	أقى
آك	وكى
آكرون	آكر
آكل	كلي
آكلا	كلي
آكلات	كلي
آكلة	كلي
آكلو	كلي
آكلوا	كلي
آكلي	كلي
آلا	آل
آلاء	إلى
آلات	آلة
آلات موسيقية	آلة موسيقية
آلاف	ألف
آلام	لم
آلاما	لم
آلب	لبى
آلة الزمن	آلة زمن
آلتو	آلت
آلتون	آلت
آلتي	آلت
آلتين	آلت
آلف	ألف
آلفا	ألف
آلفن	ألف
آلفي	ألف
آلفين	ألف
آلك	لك
آلم	لم
آلما	لم
آلمان	لم
آلمت	لم
آلمنا	لم
آلوا	آل
آليا	آلي
آليات	آلية
آليت	آلى
آليتان	آلية
آليتي	آلية
آليتين	آلية
آلين	آلى
آلينا	آلى
آليون	آلي
آليين	آلي
آم	أم
آما	أم
آماد	مدى
آمال	مال
آمالا	مال
آمان	أم
آمدن	مدى
آمر	أرى
آمرا	أرى
آمرة	أرى
آمرت	أرى
آمرو	أرى
آمري	أرى
آمرين	أرى
آملا	آمل
آملة	آمل
آملي	آمل
آملين	آمل
آمم	أم
آمن	أم
آمنا	أم
آمنان	أم
آمنة	أم
آمنت	أم
آمنتم	أم
آمنتين	أم
آمنو	أم
آمنوا	أم
آمنون	أم
آمنين	أم
آمو	أم
آمون	أم
آمي	أم
آميا	أم
آمين	أم
آن	أنى
آنا	أنى
آنت	أن
آنس	نسى
آنسا	نسى
آنسات	نسى
آنسة	نسى
آنست	نسى
آنستم	نسى
آنسي	نسى
آنفا	آنف
آنفة	آنف
آنفتي	آنف
آنفو	آنف
آنفي	آنف
آنقا	آنق
آنن	أن
آنى	أنى
آنيا	آني
آنية	آني
آنيت	أنى
آهات	آه
آهان	آه
آهلة	آهل
آهلتين	آهل
آهو	آه
آوت	آوى
آونة	أوان
آووا	آوى
آوي	آوى
آيات	آية
آيتا	آية
آيتان	آية
آيتي	آية
آيتين	آية
آيدا	آيد
آيدان	آيد
آيدة	آيد
آيدين	آيد
آيس	أس
آيسا	أس
آيست	أس
آيف	آف
آيكا	آيك
آيكان	آيك
آيكون	آيك
آيكي	آيك
آيلا	آيل
آيلات	آيل
آيلة	آيل
آيلتين	آيل
آيلين	آيل
آيم	أيم
آيهان	آيه
أأ	وأى
أؤثر	أثار
أؤد	ودى
أؤسس	ساس
أؤكد	كاد
أؤلف	ألف
أؤمم	أمم
أؤمن	أم
أؤيد	يدي
أئمن	وأم
أئن	أن
أب	أبى
أبا	أبى
أباء	بأى
أباحت	أباح
أباحوا	أباح
أباد	بادى
أبادت	بادى
أبادر	بادر
أبادوا	بادى
أبادي	بادى
أبارا	أبار
أبارك	برك
أباريق	إبريق
أباشر	باشر
أباع	باع
أباك	باك
أبال	بل
أبالغ	أبلغ
أبالي	بالى
أبانا	أبان
أبانت	أبان
أبانوا	أبان
أباه	بهو
أبت	بات
أبتسم	ابتسم
أبتعد	ابتعد
أبتغى	ابتغى
أبتغي	ابتغى
أبتكر	ابتكر
أبتلع	ابتلع
أبث	بث
أبجديات	أبجدي
أبجدية	أبجدي
أبجل	بجل
أبحاث	بحث
أبحر	بحر
أبحرت	بحر
أبحرتا	بحر
أبحرتم	بحر
أبحروا	بحر
أبخرة	بخار
أبخس	بخس
أبد	بادى
أبدآ	أبدأ
أبداع	بدع
أبدال	بدل
أبدان	بادى
أبدانا	بادى
أبدت	أبدى
أبدتا	أبدى
أبدد	بدد
أبدر	بدر
أبدع	بدع
أبدعا	بدع
أبدعت	بدع
أبدعن	بدع
أبدعنا	بدع
أبدعوا	بدع
أبدل	بدل
أبدلت	بدل
أبدلوا	بدل
أبده	بده
أبدوا	أبدى
أبديا	أبدى
أبدية	أبدي
أبديت	أبدى
أبديتم	أبدى
أبديتين	أبدي
أبدين	أبدى
أبدينا	أبدى
أبذل	بذل
أبر	بر
أبرأ	برأ
أبرئ	برأ
أبرا	بر
أبرار	بر
أبرارا	بر
أبرح	برح
أبردين	أبرد
أبرر	بر
أبرز	برز
أبرزت	برز
أبرزتا	برز
أبرزن	برز
أبرزنا	برز
أبرزوا	برز
أبرع	برع
أبرعم	برعم
أبرق	برق
أبرقت	برق
أبركان	أبرك
أبرم	برم
أبرما	برم
أبرمت	برم
أبرمتا	برم
أبرمنا	برم
أبرموا	برم
أبرهن	برهن
أبرو	بر
أبز	بز
أبزر	بزر
أبشر	بشر
أبشرا	بشر
أبشرت	بشر
أبشروا	بشر
أبشري	بشر
أبصار	بصر
أبصر	بصر
أبصرت	بصر
أبصرتم	بصر
أبصرنا	بصر
أبصق	بصق
أبض	باض
أبضا	باض
أبطآ	بطأ
أبطأ	بطأ
أبطأت	بطأ
أبطئ	بطأ
أبطال	باطل
أبطالا	باطل
أبطل	باطل
أبطلت	باطل
أبع	باع
أبعاد	بعد
أبعادا	بعد
أبعت	باع
أبعد	بعد
أبعدت	بعد
أبعدنا	بعد
أبعدوا	بعد
أبعر	بعر
أبغض	بغض
أبغى	بغى
أبغي	بغى
أبق	بقى
أبقت	بقى
أبقتا	بقى
أبقوا	بقى
أبقى	بقى
أبقي	بقى
أبقيا	بقى
أبقيت	بقى
أبقينا	بقى
أبك	باك
أبكار	بكرة
أبكارا	بكرة
أبكت	باك
أبكر	بكرة
أبكوا	أبكى
أبكي	أبكى
أبكيت	أبكى
أبل	بل
أبلت	بل
أبلح	بلح
أبلع	بلع
أبلها	أبله
أبلو	بل
أبلوا	بل
أبلى	بل
أبلي	بل
أبليت	بل
أبليتما	بل
أبلينا	بل
أبن	بنى
أبنا	أبان
أبناء	ابن
أبنت	أبان
أبنوا	بنى
أبني	بنى
أبنية	بناء
أبه	بها
أبها	بها
أبهاء	بهو
أبهج	بهج
أبهجت	بهج
أبهر	بهر
أبهرت	بهر
أبهرنا	بهر
أبهروا	بهر
أبهري	بهر
أبهظ	بهظ
أبهى	بها
أبو	أبى
أبوء	بأى
أبوا	أبى
أبواب	باب
أبوابا	باب
أبوب	بوب
أبوة	أبى
أبوت	أبى
أبوح	باح
أبور	بر
أبوس	باس
أبوظ	باظ
أبوك	باك
أبول	بل
أبون	أبى
أبونا	أبى
أبوه	بهو
أبويا	أبوي
أبوية	أبوي
أبوين	أبى
أبي	أبى
أبيا	أبى
أبيات	بات
أبيت	بات
أبيتم	أبى
أبيتوا	أبات
أبيح	أباح
أبيد	بادى
أبيدت	بادى
أبيدوا	بادى
أبيدي	بادى
أبيضين	أبيض
أبيع	باع
أبين	بنى
أبينا	أبى
أبيني	أبان
أتأثر	تأثر
أتأخر	تأخر
أتأذن	أذن
أتأرجح	تأرجح
أتأسف	ساف
أتأسى	أسوة
أتأكد	تأكد
أتألق	لقى
أتألم	لم
أتأمل	مال
أتا	أت
أتابع	باع
أتاحا	أتاح
أتاحت	أتاح
أتاحتا	أتاح
أتاحوا	أتاح
أتاه	تاه
أتاوى	إتاوة
أتبادل	تبادل
أتبرع	برع
أتبضع	بضع
أتبع	باع
أتبعت	باع
أتبلغ	بلغ
أتبنى	بنى
أتبول	بل
أتت	أت
أتتبع	باع
أتثبت	ثبت
أتجادل	جادل
أتجاهل	جهل
أتجاوز	تجاوز
أتجرأ	جرأ
أتجرع	جرع
أتجشم	جشم
أتجلى	جلى
أتجنب	جنب
أتجه	اتجه
أتجوز	جوز
أتجول	جال
أتحاسب	حسب
أتحاشى	حاشى
أتحالف	تحالف
أتحامل	تحامل
أتحايل	تحايل
أتحتم	أتاح
أتحجج	حاج
أتحد	حد
أتحدث	حدث
أتحدى	حد
أتحرر	حرى
أتحرق	حرق
أتحرك	حرك
أتحسر	حسر
أتحسس	حس
أتحسن	حسن
أتحصل	حصل
أتحضر	حضر
أتحطم	حطم
أتحفظ	حفظ
أتحقق	حق
أتحكم	حكمة
أتحلل	حال
أتحلى	حال
أتحمس	حمس
أتحمل	حمل
أتحنا	أتاح
أتحول	حال
أتحير	حرى
أتخبر	خبر
أتخبط	خبط
أتخذ	اتخذ
أتخرج	خرج
أتخصص	خصص
أتخط	خطى
أتخطى	خطى
أتخل	خلى
أتخلص	خلص
أتخلف	خلف
أتخلى	خلى
أتخم	تخم
أتخمت	تخم
أتخموا	تخم
أتخوف	خفي
أتخيل	خالي
أتداخل	داخل
أتداول	تداول
أتدبر	دبر
أتدحرج	دحرج
أتدخل	دخل
أتدرب	درب
أتدرج	درج
أتدلى	دلى
أتذكر	ذكر
أتذمر	ذمر
أتذوق	ذاق
أتر	أرى
أترأس	رأس
أتراب	رب
أترابا	رب
أتراجع	رجع
أترافق	رافق
أتربة	تراب
أترجم	رجمة
أترحم	رحم
أتردد	ورد
أترشح	رشح
أترصد	رصد
أترضى	رضا
أترفع	رفع
أترقب	ترقب
أترك	ترك
أتركوا	ترك
أتروى	روى
أتريث	رثى
أتزلف	أزلف
أتزوج	زوج
أتساءل	ساءل
أتساع	تسعة
أتساقط	سقط
أتسامح	سمح
أتسامى	تسامى
أتسبب	سبب
أتسرع	سرع
أتسع	تسعة
أتسلح	سلح
أتسلط	سلط
أتسلل	سال
أتسلم	سلم
أتسلى	سال
أتسمع	سمع
أتسوق	ساقى
أتسول	سول
أتشارك	تشارك
أتشاور	شاور
أتشبث	شبث
أتشتت	شتى
أتشرد	شرد
أتشرف	شرف
أتشك	تشكى
أتشكك	شك
أتشهد	شهد
أتشوق	وشق
أتشوه	شاه
أتصالح	صالح
أتصدى	صدى
أتصرف	صرف
أتصفح	صفح
أتصل	صلى
