آباء	أبى
آباءكم	أبى
آباءنا	أبى
آباءها	أبى
آباءهم	أبى
آباءهن	أبى
آباد	بادى
آبادي	بادى
آبدا	آبد
آبلو	آبل
آبها	آبه
آبهة	آبه
آبهين	آبه
آبو	أبى
آبى	أبى
آبيك	أبى
آبيي	أبى
آتال	ائتال
آتالي	ائتال
آتت	آتى	أت
آتنا	آتن
آتني	آتن
آتوا	آتى
آتون	آت	أت
آتىك	آتى
آتىكم	آتى
آتىنا	آتى
آتىه	آتى
آتىها	آتى
آتىهم	آتى
آتىهما	آتى
آتي	آت	آتى
آتيا	آت	آتى
آتية	آت
آتيت	آتى
آتيتان	آت
آتيتك	آتى
آتيتكم	آتى
آتيتم	آتى
آتيتنا	آتى
آتيتهن	آتى
آتيتين	آت
آتيك	آت
آتيكم	آت
آتين	آت	آتى
آتينا	آتى
آتيناه	آتى
آتيناهم	آتى
آتينك	آت
آتينكم	آت
آتينه	آت
آتينها	آت
آتينهم	آت
آتيه	آت
آتيهم	آت
آث	أث	أثا
آثار	أثار
آثاركما	أثار
آثارنا	أثار
آثاره	أثار
آثارها	أثار
آثارهم	أثار
آثارهما	أثار
آثاري	أثار
آثام	إثم
آثامه	إثم
آثامها	إثم
آثامهم	إثم
آثرت	آثر
آثرتا	آثر
آثرتك	آثر
آثرك	آثر
آثرن	آثر
آثرنا	آثر
آثرها	آثر
آثرهم	آثر
آثروا	آثر
آثما	آثم
آثمة	آثم
آجال	أجل
آجالا	أجل
آجاله	أجل
آجالها	أجل
آجالهم	أجل
آجر	جرى
آجلا	آجل
آجلة	آجل
آخت	آخى
آخذ	أخذ	مؤاخذ
آخذا	أخذ
آخذة	أخذ
آخذت	أخذ
آخذكم	أخذ
آخذه	أخذ
آخذها	أخذ
آخذهم	أخذ
آخذون	أخذ
آخذين	أخذ
آخرا	آخر
آخران	آخر
آخره	آخر
آخرها	آخر
آخرهم	آخر
آخرهما	آخر
آخرهن	آخر
آخري	آخر
آخرين	آخر
آخي	آخ	آخى
آخيت	آخى
آدا	آد
آداب	أدب
آدابكم	أدب
آدابه	أدب
آدابهم	أدب
آدان	آد
آداني	آد
آدما	آدم
آدمان	آدم
